"ICD.Chapter";"State";"Year";"Deaths";"Population";"Crude.Rate"
"Endocrine, nutritional and metabolic diseases";"Vermont";2010;241;625741;385
"Endocrine, nutritional and metabolic diseases";"Vermont";2011;266;626431;425
"Endocrine, nutritional and metabolic diseases";"Vermont";2012;279;626011;446
"Endocrine, nutritional and metabolic diseases";"Vermont";2013;279;626630;445
"Endocrine, nutritional and metabolic diseases";"Vermont";2014;322;626562;514
"Endocrine, nutritional and metabolic diseases";"Vermont";2015;309;626042;494
"Endocrine, nutritional and metabolic diseases";"Virginia";1999;2178;7000174;311
"Endocrine, nutritional and metabolic diseases";"Virginia";2000;2255;7078515;319
"Endocrine, nutritional and metabolic diseases";"Virginia";2001;2276;7198362;316
"Endocrine, nutritional and metabolic diseases";"Virginia";2002;2257;7286873;310
"Endocrine, nutritional and metabolic diseases";"Virginia";2003;2280;7366977;309
"Endocrine, nutritional and metabolic diseases";"Virginia";2004;2292;7475575;307
"Endocrine, nutritional and metabolic diseases";"Virginia";2005;2306;7577105;304
"Endocrine, nutritional and metabolic diseases";"Virginia";2006;2312;7673725;301
"Endocrine, nutritional and metabolic diseases";"Virginia";2007;2188;7751000;282
"Endocrine, nutritional and metabolic diseases";"Virginia";2008;2245;7833496;287
"Endocrine, nutritional and metabolic diseases";"Virginia";2009;2288;7925937;289
"Endocrine, nutritional and metabolic diseases";"Virginia";2010;2267;8001024;283
"Endocrine, nutritional and metabolic diseases";"Virginia";2011;2394;8096604;296
"Endocrine, nutritional and metabolic diseases";"Virginia";2012;2361;8185867;288
"Endocrine, nutritional and metabolic diseases";"Virginia";2013;2470;8260405;299
"Endocrine, nutritional and metabolic diseases";"Virginia";2014;2579;8326289;310
"Endocrine, nutritional and metabolic diseases";"Virginia";2015;3175;8382993;379
"Endocrine, nutritional and metabolic diseases";"Washington";1999;1791;5842564;307
"Endocrine, nutritional and metabolic diseases";"Washington";2000;1783;5894121;303
"Endocrine, nutritional and metabolic diseases";"Washington";2001;1875;5985722;313
"Endocrine, nutritional and metabolic diseases";"Washington";2002;2014;6052349;333
"Endocrine, nutritional and metabolic diseases";"Washington";2003;1978;6104115;324
"Endocrine, nutritional and metabolic diseases";"Washington";2004;2080;6178645;337
"Endocrine, nutritional and metabolic diseases";"Washington";2005;2147;6257305;343
"Endocrine, nutritional and metabolic diseases";"Washington";2006;2132;6370753;335
"Endocrine, nutritional and metabolic diseases";"Washington";2007;2140;6461587;331
"Endocrine, nutritional and metabolic diseases";"Washington";2008;2288;6562231;349
"Endocrine, nutritional and metabolic diseases";"Washington";2009;2273;6667426;341
"Endocrine, nutritional and metabolic diseases";"Washington";2010;2240;6724540;333
"Endocrine, nutritional and metabolic diseases";"Washington";2011;2401;6830038;352
"Endocrine, nutritional and metabolic diseases";"Washington";2012;2438;6897012;353
"Endocrine, nutritional and metabolic diseases";"Washington";2013;2528;6971406;363
"Endocrine, nutritional and metabolic diseases";"Washington";2014;2588;7061530;366
"Endocrine, nutritional and metabolic diseases";"Washington";2015;2772;7170351;387
"Endocrine, nutritional and metabolic diseases";"West Virginia";1999;1001;1811799;552
"Endocrine, nutritional and metabolic diseases";"West Virginia";2000;1029;1808344;569
"Endocrine, nutritional and metabolic diseases";"West Virginia";2001;1087;1801481;603
"Endocrine, nutritional and metabolic diseases";"West Virginia";2002;1154;1805414;639
"Endocrine, nutritional and metabolic diseases";"West Virginia";2003;1103;1812295;609
"Endocrine, nutritional and metabolic diseases";"West Virginia";2004;1128;1816438;621
"Endocrine, nutritional and metabolic diseases";"West Virginia";2005;1067;1820492;586
"Endocrine, nutritional and metabolic diseases";"West Virginia";2006;1031;1827912;564
"Endocrine, nutritional and metabolic diseases";"West Virginia";2007;1124;1834052;613
"Endocrine, nutritional and metabolic diseases";"West Virginia";2008;1062;1840310;577
"Endocrine, nutritional and metabolic diseases";"West Virginia";2009;1051;1847775;569
"Endocrine, nutritional and metabolic diseases";"West Virginia";2010;1095;1852994;591
"Endocrine, nutritional and metabolic diseases";"West Virginia";2011;1143;1855364;616
"Endocrine, nutritional and metabolic diseases";"West Virginia";2012;1078;1855413;581
"Endocrine, nutritional and metabolic diseases";"West Virginia";2013;1199;1854304;647
"Endocrine, nutritional and metabolic diseases";"West Virginia";2014;1150;1850326;622
"Endocrine, nutritional and metabolic diseases";"West Virginia";2015;1149;1844128;623
"Endocrine, nutritional and metabolic diseases";"Wisconsin";1999;1743;5332666;327
"Endocrine, nutritional and metabolic diseases";"Wisconsin";2000;1769;5363675;330
"Endocrine, nutritional and metabolic diseases";"Wisconsin";2001;1844;5406835;341
"Endocrine, nutritional and metabolic diseases";"Wisconsin";2002;1901;5445162;349
"Endocrine, nutritional and metabolic diseases";"Wisconsin";2003;1814;5479203;331
"Endocrine, nutritional and metabolic diseases";"Wisconsin";2004;1779;5514026;323
"Endocrine, nutritional and metabolic diseases";"Wisconsin";2005;1763;5546166;318
"Endocrine, nutritional and metabolic diseases";"Wisconsin";2006;1713;5577655;307
"Endocrine, nutritional and metabolic diseases";"Wisconsin";2007;1672;5610775;298
"Endocrine, nutritional and metabolic diseases";"Wisconsin";2008;1672;5640996;296
"Endocrine, nutritional and metabolic diseases";"Wisconsin";2009;1660;5669264;293
"Endocrine, nutritional and metabolic diseases";"Wisconsin";2010;1712;5686986;301
"Endocrine, nutritional and metabolic diseases";"Wisconsin";2011;1781;5711767;312
"Endocrine, nutritional and metabolic diseases";"Wisconsin";2012;1873;5726398;327
"Endocrine, nutritional and metabolic diseases";"Wisconsin";2013;1910;5742713;333
"Endocrine, nutritional and metabolic diseases";"Wisconsin";2014;2053;5757564;357
"Endocrine, nutritional and metabolic diseases";"Wisconsin";2015;2216;5771337;384
"Endocrine, nutritional and metabolic diseases";"Wyoming";1999;172;491780;350
"Endocrine, nutritional and metabolic diseases";"Wyoming";2000;146;493782;296
"Endocrine, nutritional and metabolic diseases";"Wyoming";2001;166;494657;336
"Endocrine, nutritional and metabolic diseases";"Wyoming";2002;202;500017;404
"Endocrine, nutritional and metabolic diseases";"Wyoming";2003;190;503453;377
"Endocrine, nutritional and metabolic diseases";"Wyoming";2004;169;509106;332
"Endocrine, nutritional and metabolic diseases";"Wyoming";2005;193;514157;375
"Endocrine, nutritional and metabolic diseases";"Wyoming";2006;174;522667;333
"Endocrine, nutritional and metabolic diseases";"Wyoming";2007;199;534876;372
"Endocrine, nutritional and metabolic diseases";"Wyoming";2008;175;546043;320
"Endocrine, nutritional and metabolic diseases";"Wyoming";2009;169;559851;302
"Endocrine, nutritional and metabolic diseases";"Wyoming";2010;155;563626;275
"Endocrine, nutritional and metabolic diseases";"Wyoming";2011;171;568158;301
"Endocrine, nutritional and metabolic diseases";"Wyoming";2012;149;576412;258
"Endocrine, nutritional and metabolic diseases";"Wyoming";2013;142;582658;244
"Endocrine, nutritional and metabolic diseases";"Wyoming";2014;160;584153;274
"Endocrine, nutritional and metabolic diseases";"Wyoming";2015;192;586107;328
"Mental and behavioural disorders";"Alabama";1999;677;4430141;153
"Mental and behavioural disorders";"Alabama";2000;769;4447100;173
"Mental and behavioural disorders";"Alabama";2001;829;4467634;186
"Mental and behavioural disorders";"Alabama";2002;845;4480089;189
"Mental and behavioural disorders";"Alabama";2003;960;4503491;213
"Mental and behavioural disorders";"Alabama";2004;1014;4530729;224
"Mental and behavioural disorders";"Alabama";2005;1217;4569805;266
"Mental and behavioural disorders";"Alabama";2006;1576;4628981;340
"Mental and behavioural disorders";"Alabama";2007;1648;4672840;353
"Mental and behavioural disorders";"Alabama";2008;1888;4718206;400
"Mental and behavioural disorders";"Alabama";2009;1975;4757938;415
"Mental and behavioural disorders";"Alabama";2010;2340;4779736;490
"Mental and behavioural disorders";"Alabama";2011;2490;4802740;518
"Mental and behavioural disorders";"Alabama";2012;2861;4822023;593
"Mental and behavioural disorders";"Alabama";2013;2978;4833722;616
"Mental and behavioural disorders";"Alabama";2014;2562;4849377;528
"Mental and behavioural disorders";"Alabama";2015;2190;4858979;451
"Mental and behavioural disorders";"Alaska";1999;93;624779;149
"Mental and behavioural disorders";"Alaska";2000;88;626932;140
"Mental and behavioural disorders";"Alaska";2001;122;633714;193
"Mental and behavioural disorders";"Alaska";2002;135;642337;210
"Mental and behavioural disorders";"Alaska";2003;140;648414;216
"Mental and behavioural disorders";"Alaska";2004;138;659286;209
"Mental and behavioural disorders";"Alaska";2005;172;666946;258
"Mental and behavioural disorders";"Alaska";2006;208;675302;308
"Mental and behavioural disorders";"Alaska";2007;167;680300;245
"Mental and behavioural disorders";"Alaska";2008;179;687455;260
"Mental and behavioural disorders";"Alaska";2009;169;698895;242
"Mental and behavioural disorders";"Alaska";2010;184;710231;259
"Mental and behavioural disorders";"Alaska";2011;191;722718;264
"Mental and behavioural disorders";"Alaska";2012;216;731449;295
"Mental and behavioural disorders";"Alaska";2013;223;735132;303
"Mental and behavioural disorders";"Alaska";2014;257;736732;349
"Mental and behavioural disorders";"Alaska";2015;234;738432;317
"Mental and behavioural disorders";"Arizona";1999;906;5023823;180
"Mental and behavioural disorders";"Arizona";2000;1003;5130632;195
"Mental and behavioural disorders";"Arizona";2001;1277;5273477;242
"Mental and behavioural disorders";"Arizona";2002;1209;5396255;224
"Mental and behavioural disorders";"Arizona";2003;1290;5510364;234
"Mental and behavioural disorders";"Arizona";2004;1299;5652404;230
"Mental and behavioural disorders";"Arizona";2005;1429;5839077;245
"Mental and behavioural disorders";"Arizona";2006;1762;6029141;292
"Mental and behavioural disorders";"Arizona";2007;1820;6167681;295
"Mental and behavioural disorders";"Arizona";2008;1819;6280362;290
"Mental and behavioural disorders";"Arizona";2009;1784;6343154;281
"Mental and behavioural disorders";"Arizona";2010;1989;6392017;311
"Mental and behavioural disorders";"Arizona";2011;2136;6482505;330
"Mental and behavioural disorders";"Arizona";2012;2387;6553255;364
"Mental and behavioural disorders";"Arizona";2013;2354;6626624;355
"Mental and behavioural disorders";"Arizona";2014;2291;6731484;340
"Mental and behavioural disorders";"Arizona";2015;1701;6828065;249
"Mental and behavioural disorders";"Arkansas";1999;360;2651860;136
"Mental and behavioural disorders";"Arkansas";2000;372;2673400;139
"Mental and behavioural disorders";"Arkansas";2001;459;2691571;171
"Mental and behavioural disorders";"Arkansas";2002;548;2705927;203
"Mental and behavioural disorders";"Arkansas";2003;551;2724816;202
"Mental and behavioural disorders";"Arkansas";2004;517;2749686;188
"Mental and behavioural disorders";"Arkansas";2005;608;2781097;219
"Mental and behavioural disorders";"Arkansas";2006;788;2821761;279
"Mental and behavioural disorders";"Arkansas";2007;812;2848650;285
"Mental and behavioural disorders";"Arkansas";2008;938;2874554;326
"Mental and behavioural disorders";"Arkansas";2009;920;2896843;318
"Mental and behavioural disorders";"Arkansas";2010;1208;2915918;414
"Mental and behavioural disorders";"Arkansas";2011;1395;2937979;475
"Mental and behavioural disorders";"Arkansas";2012;1661;2949131;563
"Mental and behavioural disorders";"Arkansas";2013;1694;2959373;572
"Mental and behavioural disorders";"Arkansas";2014;1342;2966369;452
"Mental and behavioural disorders";"Arkansas";2015;1025;2978204;344
"Mental and behavioural disorders";"California";1999;3612;33499204;108
"Mental and behavioural disorders";"California";2000;3560;33871648;105
"Mental and behavioural disorders";"California";2001;3695;34479458;107
"Mental and behavioural disorders";"California";2002;4443;34871843;127
"Mental and behavioural disorders";"California";2003;4784;35253159;136
"Mental and behavioural disorders";"California";2004;4514;35574576;127
"Mental and behavioural disorders";"California";2005;5618;35827943;157
"Mental and behavioural disorders";"California";2006;6912;36021202;192
"Mental and behavioural disorders";"California";2007;6187;36250311;171
"Mental and behavioural disorders";"California";2008;7163;36604337;196
"Mental and behavioural disorders";"California";2009;7181;36961229;194
"Mental and behavioural disorders";"California";2010;7851;37253956;211
"Mental and behavioural disorders";"California";2011;9070;37691912;241
"Mental and behavioural disorders";"California";2012;9799;38041430;258
"Mental and behavioural disorders";"California";2013;10006;38332521;261
"Mental and behavioural disorders";"California";2014;9179;38802500;237
"Mental and behavioural disorders";"California";2015;7679;39144818;196
"Mental and behavioural disorders";"Colorado";1999;662;4226018;157
"Mental and behavioural disorders";"Colorado";2000;797;4301261;185
"Mental and behavioural disorders";"Colorado";2001;947;4425687;214
"Mental and behavioural disorders";"Colorado";2002;1026;4490406;228
"Mental and behavioural disorders";"Colorado";2003;944;4528732;208
"Mental and behavioural disorders";"Colorado";2004;882;4575013;193
"Mental and behavioural disorders";"Colorado";2005;1060;4631888;229
"Mental and behavioural disorders";"Colorado";2006;1324;4720423;280
"Mental and behavioural disorders";"Colorado";2007;1304;4803868;271
"Mental and behavioural disorders";"Colorado";2008;1594;4889730;326
"Mental and behavioural disorders";"Colorado";2009;1534;4972195;309
"Mental and behavioural disorders";"Colorado";2010;1821;5029196;362
"Mental and behavioural disorders";"Colorado";2011;2025;5116796;396
"Mental and behavioural disorders";"Colorado";2012;2065;5187582;398
"Mental and behavioural disorders";"Colorado";2013;2144;5268367;407
"Mental and behavioural disorders";"Colorado";2014;2060;5355866;385
"Mental and behavioural disorders";"Colorado";2015;1947;5456574;357
"Mental and behavioural disorders";"Connecticut";1999;494;3386401;146
"Mental and behavioural disorders";"Connecticut";2000;575;3405565;169
"Mental and behavioural disorders";"Connecticut";2001;681;3432835;198
"Mental and behavioural disorders";"Connecticut";2002;794;3458749;230
"Mental and behavioural disorders";"Connecticut";2003;776;3484336;223
"Mental and behavioural disorders";"Connecticut";2004;907;3496094;259
"Mental and behavioural disorders";"Connecticut";2005;1032;3506956;294
"Mental and behavioural disorders";"Connecticut";2006;1266;3517460;360
"Mental and behavioural disorders";"Connecticut";2007;1285;3527270;364
"Mental and behavioural disorders";"Connecticut";2008;1386;3545579;391
"Mental and behavioural disorders";"Connecticut";2009;1491;3561807;419
"Mental and behavioural disorders";"Connecticut";2010;1652;3574097;462
"Mental and behavioural disorders";"Connecticut";2011;2005;3580709;560
"Mental and behavioural disorders";"Connecticut";2012;2091;3590347;582
"Mental and behavioural disorders";"Connecticut";2013;2196;3596080;611
"Mental and behavioural disorders";"Connecticut";2014;2301;3596677;640
"Mental and behavioural disorders";"Connecticut";2015;2308;3590886;643
"Mental and behavioural disorders";"Delaware";1999;67;774990;86
"Mental and behavioural disorders";"Delaware";2000;94;783600;120
"Mental and behavioural disorders";"Delaware";2001;115;795699;145
"Mental and behavioural disorders";"Delaware";2002;133;806169;165
"Mental and behavioural disorders";"Delaware";2003;146;818003;178
"Mental and behavioural disorders";"Delaware";2004;154;830803;185
"Mental and behavioural disorders";"Delaware";2005;188;845150;222
"Mental and behavioural disorders";"Delaware";2006;297;859268;346
"Mental and behavioural disorders";"Delaware";2007;334;871749;383
"Mental and behavioural disorders";"Delaware";2008;406;883874;459
"Mental and behavioural disorders";"Delaware";2009;436;891730;489
"Mental and behavioural disorders";"Delaware";2010;490;897934;546
"Mental and behavioural disorders";"Delaware";2011;481;907135;530
"Mental and behavioural disorders";"Delaware";2012;549;917092;599
"Mental and behavioural disorders";"Delaware";2013;452;925749;488
"Mental and behavioural disorders";"Delaware";2014;520;935614;556
"Mental and behavioural disorders";"Delaware";2015;506;945934;535
"Mental and behavioural disorders";"District of Columbia";1999;110;570213;193
"Mental and behavioural disorders";"District of Columbia";2000;136;572059;238
"Mental and behavioural disorders";"District of Columbia";2001;117;574504;204
"Mental and behavioural disorders";"District of Columbia";2002;127;573158;222
"Mental and behavioural disorders";"District of Columbia";2003;131;568502;230
"Mental and behavioural disorders";"District of Columbia";2004;144;567754;254
"Mental and behavioural disorders";"District of Columbia";2005;138;567136;243
"Mental and behavioural disorders";"District of Columbia";2006;173;570681;303
"Mental and behavioural disorders";"District of Columbia";2007;182;574404;317
"Mental and behavioural disorders";"District of Columbia";2008;179;580236;308
"Mental and behavioural disorders";"District of Columbia";2009;169;592228;285
"Mental and behavioural disorders";"District of Columbia";2010;195;601723;324
"Mental and behavioural disorders";"District of Columbia";2011;228;617996;369
"Mental and behavioural disorders";"District of Columbia";2012;204;632323;323
"Mental and behavioural disorders";"District of Columbia";2013;243;646449;376
"Mental and behavioural disorders";"District of Columbia";2014;221;658893;335
"Mental and behavioural disorders";"District of Columbia";2015;202;672228;300
"Mental and behavioural disorders";"Florida";1999;2968;15759421;188
"Mental and behavioural disorders";"Florida";2000;3286;15982378;206
"Mental and behavioural disorders";"Florida";2001;3929;16356966;240
"Mental and behavioural disorders";"Florida";2002;4075;16689370;244
"Mental and behavioural disorders";"Florida";2003;4323;17004085;254
"Mental and behavioural disorders";"Florida";2004;4802;17415318;276
"Mental and behavioural disorders";"Florida";2005;5450;17842038;305
"Mental and behavioural disorders";"Florida";2006;7167;18166990;395
"Mental and behavioural disorders";"Florida";2007;6745;18367842;367
"Mental and behavioural disorders";"Florida";2008;7539;18527305;407
"Mental and behavioural disorders";"Florida";2009;7722;18652644;414
"Mental and behavioural disorders";"Florida";2010;8837;18801310;470
"Mental and behavioural disorders";"Florida";2011;9808;19057542;515
"Mental and behavioural disorders";"Florida";2012;10673;19317568;553
"Mental and behavioural disorders";"Florida";2013;11081;19552860;567
"Mental and behavioural disorders";"Florida";2014;10265;19893297;516
"Mental and behavioural disorders";"Florida";2015;8315;20271272;410
"Mental and behavioural disorders";"Georgia";1999;1155;8045965;144
"Mental and behavioural disorders";"Georgia";2000;1309;8186453;160
"Mental and behavioural disorders";"Georgia";2001;1418;8377038;169
"Mental and behavioural disorders";"Georgia";2002;1578;8508256;185
"Mental and behavioural disorders";"Georgia";2003;1843;8622793;214
"Mental and behavioural disorders";"Georgia";2004;1866;8769252;213
"Mental and behavioural disorders";"Georgia";2005;2113;8925922;237
"Mental and behavioural disorders";"Georgia";2006;2632;9155813;287
"Mental and behavioural disorders";"Georgia";2007;2676;9349988;286
"Mental and behavioural disorders";"Georgia";2008;2909;9504843;306
"Mental and behavioural disorders";"Georgia";2009;3079;9620846;320
"Mental and behavioural disorders";"Georgia";2010;3652;9687653;377
"Mental and behavioural disorders";"Georgia";2011;4080;9815210;416
"Mental and behavioural disorders";"Georgia";2012;4543;9919945;458
"Mental and behavioural disorders";"Georgia";2013;4939;9992167;494
"Mental and behavioural disorders";"Georgia";2014;4677;10097343;463
"Mental and behavioural disorders";"Georgia";2015;3551;10214860;348
"Mental and behavioural disorders";"Hawaii";1999;144;1210300;119
"Mental and behavioural disorders";"Hawaii";2000;181;1211537;149
"Mental and behavioural disorders";"Hawaii";2001;176;1225948;144
"Mental and behavioural disorders";"Hawaii";2002;210;1239613;169
"Mental and behavioural disorders";"Hawaii";2003;262;1251154;209
"Mental and behavioural disorders";"Hawaii";2004;318;1273569;250
"Mental and behavioural disorders";"Hawaii";2005;353;1292729;273
"Mental and behavioural disorders";"Hawaii";2006;518;1309731;396
"Mental and behavioural disorders";"Hawaii";2007;469;1315675;356
"Mental and behavioural disorders";"Hawaii";2008;570;1332213;428
"Mental and behavioural disorders";"Hawaii";2009;608;1346717;451
"Mental and behavioural disorders";"Hawaii";2010;645;1360301;474
"Mental and behavioural disorders";"Hawaii";2011;697;1374810;507
"Mental and behavioural disorders";"Hawaii";2012;810;1392313;582
"Mental and behavioural disorders";"Hawaii";2013;798;1404054;568
"Mental and behavioural disorders";"Hawaii";2014;802;1419561;565
"Mental and behavioural disorders";"Hawaii";2015;659;1431603;460
"Mental and behavioural disorders";"Idaho";1999;188;1275674;147
"Mental and behavioural disorders";"Idaho";2000;194;1293953;150
"Mental and behavioural disorders";"Idaho";2001;229;1319962;173
"Mental and behavioural disorders";"Idaho";2002;220;1340372;164
"Mental and behavioural disorders";"Idaho";2003;256;1363380;188
"Mental and behavioural disorders";"Idaho";2004;262;1391802;188
"Mental and behavioural disorders";"Idaho";2005;286;1428241;200
"Mental and behavioural disorders";"Idaho";2006;467;1468669;318
"Mental and behavioural disorders";"Idaho";2007;517;1505105;343
"Mental and behavioural disorders";"Idaho";2008;573;1534320;373
"Mental and behavioural disorders";"Idaho";2009;577;1554439;371
"Mental and behavioural disorders";"Idaho";2010;641;1567582;409
"Mental and behavioural disorders";"Idaho";2011;827;1584985;522
"Mental and behavioural disorders";"Idaho";2012;881;1595728;552
"Mental and behavioural disorders";"Idaho";2013;906;1612136;562
"Mental and behavioural disorders";"Idaho";2014;858;1634464;525
"Mental and behavioural disorders";"Idaho";2015;714;1654930;431
"Mental and behavioural disorders";"Illinois";1999;1847;12359020;149
"Mental and behavioural disorders";"Illinois";2000;1979;12419293;159
"Mental and behavioural disorders";"Illinois";2001;2145;12488445;172
"Mental and behavioural disorders";"Illinois";2002;2322;12525556;185
"Mental and behavioural disorders";"Illinois";2003;2420;12556006;193
"Mental and behavioural disorders";"Illinois";2004;2496;12589773;198
"Mental and behavioural disorders";"Illinois";2005;2841;12609903;225
"Mental and behavioural disorders";"Illinois";2006;3671;12643955;290
"Mental and behavioural disorders";"Illinois";2007;3582;12695866;282
"Mental and behavioural disorders";"Illinois";2008;4487;12747038;352
"Mental and behavioural disorders";"Illinois";2009;4320;12796778;338
"Mental and behavioural disorders";"Illinois";2010;4819;12830632;376
"Mental and behavioural disorders";"Illinois";2011;5654;12869257;439
"Mental and behavioural disorders";"Illinois";2012;6097;12875255;474
"Mental and behavioural disorders";"Illinois";2013;6470;12882135;502
"Mental and behavioural disorders";"Illinois";2014;6475;12880580;503
"Mental and behavioural disorders";"Illinois";2015;6119;12859995;476
"Mental and behavioural disorders";"Indiana";1999;920;6044969;152
"Mental and behavioural disorders";"Indiana";2000;1089;6080485;179
"Mental and behavioural disorders";"Indiana";2001;1163;6127760;190
"Mental and behavioural disorders";"Indiana";2002;1178;6155967;191
"Mental and behavioural disorders";"Indiana";2003;1322;6196638;213
"Mental and behavioural disorders";"Indiana";2004;1391;6233007;223
"Mental and behavioural disorders";"Indiana";2005;1517;6278616;242
"Mental and behavioural disorders";"Indiana";2006;1806;6332669;285
"Mental and behavioural disorders";"Indiana";2007;1745;6379599;274
"Mental and behavioural disorders";"Indiana";2008;2176;6424806;339
"Mental and behavioural disorders";"Indiana";2009;2343;6459325;363
"Mental and behavioural disorders";"Indiana";2010;2570;6483802;396
"Mental and behavioural disorders";"Indiana";2011;3000;6516922;460
"Mental and behavioural disorders";"Indiana";2012;3297;6537334;504
"Mental and behavioural disorders";"Indiana";2013;3688;6570902;561
"Mental and behavioural disorders";"Indiana";2014;3710;6596855;562
"Mental and behavioural disorders";"Indiana";2015;3592;6619680;543
"Mental and behavioural disorders";"Iowa";1999;526;2917634;180
"Mental and behavioural disorders";"Iowa";2000;530;2926324;181
"Mental and behavioural disorders";"Iowa";2001;549;2931997;187
"Mental and behavioural disorders";"Iowa";2002;540;2934234;184
"Mental and behavioural disorders";"Iowa";2003;675;2941999;229
"Mental and behavioural disorders";"Iowa";2004;678;2953635;230
"Mental and behavioural disorders";"Iowa";2005;861;2964454;290
"Mental and behavioural disorders";"Iowa";2006;984;2982644;330
"Mental and behavioural disorders";"Iowa";2007;987;2999212;329
"Mental and behavioural disorders";"Iowa";2008;1052;3016734;349
"Mental and behavioural disorders";"Iowa";2009;1113;3032870;367
"Mental and behavioural disorders";"Iowa";2010;1236;3046355;406
"Mental and behavioural disorders";"Iowa";2011;1285;3062309;420
"Mental and behavioural disorders";"Iowa";2012;1465;3074186;477
"Mental and behavioural disorders";"Iowa";2013;1559;3090416;504
"Mental and behavioural disorders";"Iowa";2014;1579;3107126;508
"Mental and behavioural disorders";"Iowa";2015;1585;3123899;507
"Mental and behavioural disorders";"Kansas";1999;529;2678338;198
"Mental and behavioural disorders";"Kansas";2000;566;2688418;211
"Mental and behavioural disorders";"Kansas";2001;595;2702162;220
"Mental and behavioural disorders";"Kansas";2002;655;2713535;241
"Mental and behavioural disorders";"Kansas";2003;652;2723004;239
"Mental and behavioural disorders";"Kansas";2004;655;2734373;240
"Mental and behavioural disorders";"Kansas";2005;860;2745299;313
"Mental and behavioural disorders";"Kansas";2006;1020;2762931;369
"Mental and behavioural disorders";"Kansas";2007;994;2783785;357
"Mental and behavioural disorders";"Kansas";2008;1199;2808076;427
"Mental and behavioural disorders";"Kansas";2009;1143;2832704;404
"Mental and behavioural disorders";"Kansas";2010;1375;2853118;482
"Mental and behavioural disorders";"Kansas";2011;1649;2871238;574
"Mental and behavioural disorders";"Kansas";2012;1535;2885905;532
"Mental and behavioural disorders";"Kansas";2013;1619;2893957;559
"Mental and behavioural disorders";"Kansas";2014;1719;2904021;592
"Mental and behavioural disorders";"Kansas";2015;1716;2911641;589
"Mental and behavioural disorders";"Kentucky";1999;565;4018053;141
"Mental and behavioural disorders";"Kentucky";2000;638;4041769;158
"Mental and behavioural disorders";"Kentucky";2001;674;4068132;166
"Mental and behavioural disorders";"Kentucky";2002;701;4089875;171
"Mental and behavioural disorders";"Kentucky";2003;748;4117170;182
"Mental and behavioural disorders";"Kentucky";2004;761;4146101;184
"Mental and behavioural disorders";"Kentucky";2005;877;4182742;210
"Mental and behavioural disorders";"Kentucky";2006;1157;4219239;274
"Mental and behavioural disorders";"Kentucky";2007;1131;4256672;266
"Mental and behavioural disorders";"Kentucky";2008;1384;4289878;323
"Mental and behavioural disorders";"Kentucky";2009;1537;4317074;356
"Mental and behavioural disorders";"Kentucky";2010;1725;4339367;398
"Mental and behavioural disorders";"Kentucky";2011;1881;4369356;430
"Mental and behavioural disorders";"Kentucky";2012;2154;4380415;492
"Mental and behavioural disorders";"Kentucky";2013;2326;4395295;529
"Mental and behavioural disorders";"Kentucky";2014;2386;4413457;541
"Mental and behavioural disorders";"Kentucky";2015;2325;4425092;525
"Mental and behavioural disorders";"Louisiana";1999;542;4460811;122
"Mental and behavioural disorders";"Louisiana";2000;612;4468976;137
"Mental and behavioural disorders";"Louisiana";2001;703;4477875;157
"Mental and behavioural disorders";"Louisiana";2002;839;4497267;187
"Mental and behavioural disorders";"Louisiana";2003;882;4521042;195
"Mental and behavioural disorders";"Louisiana";2004;943;4552238;207
"Mental and behavioural disorders";"Louisiana";2005;1146;4576628;250
"Mental and behavioural disorders";"Louisiana";2006;1232;4302665;286
"Mental and behavioural disorders";"Louisiana";2007;1193;4375581;273
"Mental and behavioural disorders";"Louisiana";2008;1361;4435586;307
"Mental and behavioural disorders";"Louisiana";2009;1318;4491648;293
"Mental and behavioural disorders";"Louisiana";2010;1617;4533372;357
"Mental and behavioural disorders";"Louisiana";2011;1794;4574836;392
"Mental and behavioural disorders";"Louisiana";2012;2066;4601893;449
"Mental and behavioural disorders";"Louisiana";2013;2241;4625470;484
"Mental and behavioural disorders";"Louisiana";2014;2050;4649676;441
"Mental and behavioural disorders";"Louisiana";2015;1345;4670724;288
"Mental and behavioural disorders";"Maine";1999;260;1266808;205
"Mental and behavioural disorders";"Maine";2000;249;1274923;195
"Mental and behavioural disorders";"Maine";2001;290;1285692;226
"Mental and behavioural disorders";"Maine";2002;343;1295960;265
"Mental and behavioural disorders";"Maine";2003;337;1306513;258
"Mental and behavioural disorders";"Maine";2004;414;1313688;315
"Mental and behavioural disorders";"Maine";2005;485;1318787;368
"Mental and behavioural disorders";"Maine";2006;534;1323619;403
"Mental and behavioural disorders";"Maine";2007;596;1327040;449
"Mental and behavioural disorders";"Maine";2008;663;1330509;498
"Mental and behavioural disorders";"Maine";2009;775;1329590;583
"Mental and behavioural disorders";"Maine";2010;776;1328361;584
"Mental and behavioural disorders";"Maine";2011;963;1328188;725
"Mental and behavioural disorders";"Maine";2012;1022;1329192;769
"Mental and behavioural disorders";"Maine";2013;1146;1328302;863
"Mental and behavioural disorders";"Maine";2014;1190;1330089;895
"Mental and behavioural disorders";"Maine";2015;1223;1329328;920
"Mental and behavioural disorders";"Maryland";1999;802;5254509;153
"Mental and behavioural disorders";"Maryland";2000;964;5296486;182
"Mental and behavioural disorders";"Maryland";2001;952;5374691;177
"Mental and behavioural disorders";"Maryland";2002;1042;5440389;192
